,SUBJECT,SNR,CHOICE,TALKER,RESULT
459,7,0,synthesized,2,1
460,7,0,synthesized,2,1
461,7,0,synthesized,2,1
462,7,-9,audio-only,0,1
463,7,-9,audio-only,0,0
464,7,-9,audio-only,0,0
465,7,-9,audio-only,0,0
466,7,-9,synthesized,0,1
467,7,-9,synthesized,0,1
468,7,-9,synthesized,0,0
469,7,-9,synthesized,0,0
470,7,-3,audio-only,3,0
471,7,-3,audio-only,3,1
472,7,-3,audio-only,3,1
473,7,-3,audio-only,3,1
474,7,-9,natural,2,1
475,7,-9,natural,2,1
476,7,-9,natural,2,0
477,7,-9,natural,2,1
478,7,-9,natural,2,0
479,7,0,synthesized,0,1
480,7,0,synthesized,0,1
481,7,0,synthesized,0,1
482,7,0,synthesized,0,1
483,7,-6,synthesized,1,0
484,7,-6,synthesized,1,0
485,7,-6,synthesized,1,0
486,7,-6,synthesized,1,0
487,7,-3,natural,2,1
488,7,-3,natural,2,1
489,7,-3,natural,2,1
490,7,-3,natural,2,1
491,7,0,audio-only,2,1
492,7,0,audio-only,2,1
493,7,0,audio-only,2,0
494,7,0,audio-only,2,0
495,7,0,natural,0,1
496,7,0,natural,0,1
497,7,0,natural,0,1
498,7,-3,synthesized,2,1
499,7,-3,synthesized,2,1
500,7,-3,synthesized,2,1
501,7,-9,audio-only,3,0
502,7,-9,audio-only,3,0
503,7,-9,audio-only,3,0
504,7,-9,audio-only,3,0
505,7,-6,natural,0,1
506,7,-6,natural,0,1
507,7,-6,natural,0,1
508,7,-6,audio-only,2,0
509,7,-6,audio-only,2,0
510,7,-6,audio-only,2,0
511,7,-6,audio-only,2,0
512,7,-9,synthesized,1,0
513,7,-9,synthesized,1,1
514,7,-9,synthesized,1,0
515,7,-3,audio-only,0,1
516,7,-3,audio-only,0,1
517,7,-3,audio-only,0,1
518,7,-3,audio-only,0,1
519,7,-6,audio-only,0,1
520,7,-6,audio-only,0,1
521,7,-6,audio-only,0,1
522,7,0,synthesized,2,1
523,7,0,synthesized,2,1
524,7,0,synthesized,2,1
525,7,0,synthesized,2,1
526,7,-9,audio-only,2,0
527,7,-9,audio-only,2,0
528,7,-9,audio-only,2,0
529,7,-9,audio-only,2,0
530,7,-3,synthesized,0,1
531,7,-3,synthesized,0,1
532,7,-3,synthesized,0,1
533,7,-3,synthesized,0,1
534,7,0,audio-only,2,1
535,7,0,audio-only,2,1
536,7,0,audio-only,2,0
537,7,0,audio-only,2,1
538,7,-9,synthesized,2,1
539,7,-9,synthesized,2,0
540,7,-9,synthesized,2,0
541,7,-9,natural,2,0
542,7,-9,natural,2,1
543,7,-9,natural,2,1
544,7,-6,natural,3,1
545,7,-6,natural,3,1
546,7,-6,natural,3,1
547,7,-6,natural,3,0
548,7,-6,natural,3,1
549,7,0,natural,3,1
550,7,0,natural,3,1
551,7,0,natural,3,1
552,7,0,natural,3,1
553,7,0,natural,3,1
554,7,-3,audio-only,0,1
555,7,-3,audio-only,0,0
556,7,-3,audio-only,0,0
557,7,-3,natural,3,1
558,7,-3,natural,3,1
559,7,-3,natural,3,1
560,7,-6,synthesized,1,1
561,7,-6,synthesized,1,1
562,7,-6,synthesized,1,1
563,7,-6,synthesized,1,1
564,7,-6,synthesized,1,1
565,7,-6,audio-only,3,0
566,7,-6,audio-only,3,0
567,7,-6,audio-only,3,0
568,7,-6,audio-only,3,0
569,7,-6,audio-only,3,0
570,7,-9,natural,3,0
571,7,-9,natural,3,0
572,7,-9,natural,3,0
573,7,-9,natural,3,0
574,7,-9,natural,3,0
575,7,-3,synthesized,0,1
576,7,-3,synthesized,0,1
577,7,-3,synthesized,0,1
578,7,-3,synthesized,0,1
579,7,-3,synthesized,0,1
580,7,0,synthesized,1,1
581,7,0,synthesized,1,1
582,7,0,synthesized,1,1
583,7,0,natural,1,1
584,7,0,natural,1,1
585,7,0,natural,1,1
586,7,0,natural,1,1
587,7,0,audio-only,0,1
588,7,0,audio-only,0,1
589,7,0,audio-only,0,1
590,7,0,audio-only,0,1
591,7,-3,natural,2,1
592,7,-3,natural,2,1
593,7,-3,natural,2,1
594,7,-3,natural,2,1
595,7,-3,audio-only,2,0
596,7,-3,audio-only,2,1
597,7,-3,audio-only,2,1
598,7,-9,audio-only,1,0
599,7,-9,audio-only,1,0
600,7,-9,audio-only,1,0
601,7,-9,audio-only,1,0
602,7,-6,natural,0,1
603,7,-6,natural,0,1
604,7,-6,natural,0,1
605,7,-6,natural,0,1
606,7,-9,synthesized,2,0
607,7,-9,synthesized,2,0
608,7,-9,synthesized,2,0
609,7,-9,synthesized,2,0
610,7,-6,synthesized,0,1
611,7,-6,synthesized,0,1
612,7,-6,synthesized,0,1
613,7,-3,natural,3,1
614,7,-3,natural,3,1
615,7,-3,natural,3,1
616,7,-9,natural,0,1
617,7,-9,natural,0,1
618,7,-9,natural,0,0
619,7,-9,natural,0,1
620,7,-9,natural,0,1
621,7,-6,audio-only,2,1
622,7,-6,audio-only,2,1
623,7,-6,audio-only,2,0
624,7,-6,audio-only,2,1
625,7,0,synthesized,3,0
626,7,0,synthesized,3,0
627,7,0,synthesized,3,1
628,7,0,synthesized,3,1
629,7,-3,synthesized,2,0
630,7,-3,synthesized,2,1
631,7,-3,synthesized,2,1
632,7,-3,audio-only,3,0
633,7,-3,audio-only,3,0
634,7,-3,audio-only,3,0
635,7,-3,audio-only,3,0
636,7,-3,audio-only,3,0
637,7,-6,synthesized,2,1
638,7,-6,synthesized,2,1
639,7,-6,synthesized,2,0
640,7,-6,synthesized,2,1
641,7,-6,synthesized,2,1
642,7,0,natural,1,1
643,7,0,natural,1,1
644,7,0,natural,1,1
645,7,-6,natural,3,1
646,7,-6,natural,3,1
647,7,-6,natural,3,1
648,7,-9,audio-only,2,1
649,7,-9,audio-only,2,1
650,7,-9,audio-only,2,1
651,7,-9,synthesized,0,0
652,7,-9,synthesized,0,0
653,7,-9,synthesized,0,0
654,7,0,audio-only,0,1
655,7,0,audio-only,0,1
656,7,0,audio-only,0,1
657,7,0,natural,0,1
658,7,0,natural,0,1
659,7,0,natural,0,1
660,7,0,natural,0,1
661,7,-3,natural,1,1
662,7,-3,natural,1,1
663,7,-3,natural,1,1
664,7,-3,natural,1,1
665,7,-6,synthesized,0,0
666,7,-6,synthesized,0,0
667,7,-6,synthesized,0,1
668,7,-6,synthesized,0,1
669,7,-9,natural,3,0
670,7,-9,natural,3,0
671,7,-9,natural,3,0
672,7,-9,natural,3,1
673,7,-6,natural,0,1
674,7,-6,natural,0,1
675,7,-6,natural,0,1
676,7,-6,natural,0,1
677,7,-6,natural,0,1
678,7,0,audio-only,3,0
679,7,0,audio-only,3,0
680,7,0,audio-only,3,0
681,7,0,audio-only,3,0
682,7,0,audio-only,3,0
683,7,-9,audio-only,2,0
684,7,-9,audio-only,2,0
685,7,-9,audio-only,2,0
686,7,-9,audio-only,2,0
687,7,-6,audio-only,2,0
688,7,-6,audio-only,2,0
689,7,-6,audio-only,2,0
690,7,-6,audio-only,2,0
691,7,0,synthesized,3,1
692,7,0,synthesized,3,1
693,7,0,synthesized,3,1
694,7,-9,synthesized,0,1
695,7,-9,synthesized,0,1
696,7,-9,synthesized,0,1
697,7,-3,synthesized,1,1
698,7,-3,synthesized,1,1
699,7,-3,synthesized,1,1
700,7,-3,synthesized,1,1
701,7,-3,audio-only,1,0
702,7,-3,audio-only,1,0
703,7,-3,audio-only,1,1
704,7,-3,audio-only,1,1
705,7,-6,synthesized,3,0
706,7,-6,synthesized,3,1
707,7,-6,synthesized,3,0
708,7,-9,audio-only,1,0
709,7,-9,audio-only,1,0
710,7,-9,audio-only,1,0
711,7,-9,audio-only,1,0
712,7,-6,natural,2,1
713,7,-6,natural,2,1
714,7,-6,natural,2,1
715,7,-6,natural,2,0
716,7,0,synthesized,0,0
717,7,0,synthesized,0,0
718,7,0,synthesized,0,1
719,7,0,synthesized,0,1
720,7,-6,audio-only,3,0
721,7,-6,audio-only,3,1
722,7,-6,audio-only,3,1
723,7,-3,synthesized,2,1
724,7,-3,synthesized,2,1
725,7,-3,synthesized,2,1
726,7,-3,synthesized,2,1
727,7,-9,natural,0,1
728,7,-9,natural,0,1
729,7,-9,natural,0,1
730,7,-9,natural,0,1
731,7,0,audio-only,0,1
732,7,0,audio-only,0,1
733,7,0,audio-only,0,1
734,7,-9,synthesized,2,0
735,7,-9,synthesized,2,0
736,7,-9,synthesized,2,1
737,7,-9,synthesized,2,0
738,7,0,natural,1,1
739,7,0,natural,1,1
740,7,0,natural,1,1
741,7,0,natural,1,1
742,7,-3,natural,1,1
743,7,-3,natural,1,1
744,7,-3,natural,1,1
745,7,-3,natural,1,1
746,7,-3,audio-only,1,1
747,7,-3,audio-only,1,1
748,7,-3,audio-only,1,1
749,8,0,natural,3,1
750,8,0,natural,3,1
751,8,0,natural,3,1
752,8,0,natural,3,1
753,8,0,natural,3,1
754,8,-3,audio-only,1,0
755,8,-3,audio-only,1,0
756,8,-3,audio-only,1,0
757,8,-3,synthesized,0,1
758,8,-3,synthesized,0,1
759,8,-3,synthesized,0,1
760,8,0,audio-only,2,1
761,8,0,audio-only,2,1
762,8,0,audio-only,2,1
763,8,-6,synthesized,2,1
764,8,-6,synthesized,2,1
765,8,-6,synthesized,2,1
766,8,-6,synthesized,2,1
767,8,-9,natural,3,0
768,8,-9,natural,3,0
769,8,-9,natural,3,0
770,8,-9,natural,3,0
771,8,0,synthesized,2,1
772,8,0,synthesized,2,1
773,8,0,synthesized,2,1
774,8,0,synthesized,2,1
775,8,-9,synthesized,0,0
776,8,-9,synthesized,0,0
777,8,-9,synthesized,0,0
778,8,-9,synthesized,0,0
779,8,-9,synthesized,0,0
780,8,-6,audio-only,2,0
781,8,-6,audio-only,2,0
782,8,-6,audio-only,2,0
783,8,-6,audio-only,2,0
784,8,-3,natural,0,1
785,8,-3,natural,0,1
786,8,-3,natural,0,1
787,8,-9,audio-only,2,0
788,8,-9,audio-only,2,0
789,8,-9,audio-only,2,0
790,8,-9,audio-only,2,0
791,8,-6,natural,1,1
792,8,-6,natural,1,1
793,8,-6,natural,1,1
794,8,-6,natural,1,1
795,8,-6,natural,1,1
796,8,-9,natural,1,1
797,8,-9,natural,1,0
798,8,-9,natural,1,0
799,8,-9,natural,1,0
800,8,-9,natural,1,0
801,8,-3,audio-only,1,1
802,8,-3,audio-only,1,1
803,8,-3,audio-only,1,0
804,8,-9,synthesized,0,0
805,8,-9,synthesized,0,0
806,8,-9,synthesized,0,0
807,8,-6,synthesized,2,1
808,8,-6,synthesized,2,0
809,8,-6,synthesized,2,0
810,8,-6,synthesized,2,0
811,8,-3,natural,1,1
812,8,-3,natural,1,1
813,8,-3,natural,1,1
814,8,-3,natural,1,1
815,8,0,natural,1,1
816,8,0,natural,1,1
817,8,0,natural,1,1
818,8,-6,audio-only,3,1
819,8,-6,audio-only,3,0
820,8,-6,audio-only,3,1
821,8,-6,audio-only,3,1
822,8,0,synthesized,0,1
823,8,0,synthesized,0,1
824,8,0,synthesized,0,1
825,8,-9,audio-only,0,0
826,8,-9,audio-only,0,0
827,8,-9,audio-only,0,0
828,8,-9,audio-only,0,0
829,8,-9,audio-only,0,0
830,8,-6,natural,2,1
831,8,-6,natural,2,0
832,8,-6,natural,2,0
833,8,-6,natural,2,1
834,8,-3,synthesized,3,0
835,8,-3,synthesized,3,0
836,8,-3,synthesized,3,0
837,8,-3,synthesized,3,0
838,8,0,audio-only,0,0
839,8,0,audio-only,0,0
840,8,0,audio-only,0,0
841,8,0,audio-only,0,0
842,8,0,audio-only,0,0
843,8,-3,natural,1,0
844,8,-3,natural,1,0
845,8,-3,natural,1,1
846,8,-3,natural,1,0
847,8,0,natural,3,1
848,8,0,natural,3,1
849,8,0,natural,3,0
850,8,-6,natural,1,1
851,8,-6,natural,1,1
852,8,-6,natural,1,0
853,8,-6,audio-only,1,0
854,8,-6,audio-only,1,0
855,8,-6,audio-only,1,0
856,8,-3,synthesized,1,1
857,8,-3,synthesized,1,0
858,8,-3,synthesized,1,1
859,8,-3,synthesized,1,1
860,8,-6,synthesized,1,1
861,8,-6,synthesized,1,1
862,8,-6,synthesized,1,1
863,8,-6,synthesized,1,1
864,8,0,synthesized,3,0
865,8,0,synthesized,3,1
866,8,0,synthesized,3,0
867,8,-9,synthesized,2,0
868,8,-9,synthesized,2,0
869,8,-9,synthesized,2,0
870,8,-3,audio-only,2,0
871,8,-3,audio-only,2,0
872,8,-3,audio-only,2,0
873,8,-3,audio-only,2,0
874,8,-9,natural,2,0
875,8,-9,natural,2,0
876,8,-9,natural,2,0
877,8,-9,audio-only,0,0
878,8,-9,audio-only,0,0
879,8,-9,audio-only,0,0
880,8,-9,audio-only,0,0
